"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000117519",4483.62709360346,-2.42271923981601,0.0600016218982957,-40.3775625252694,0,0,"1266","1266","calponin 3"
"ENSG00000183508",2053.88135557663,3.20195534795427,0.0724172014757464,44.2153974843485,0,0,"54855","54855","terminal nucleotidyltransferase 5C"
"ENSG00000159176",5692.46278267679,-2.31373756503587,0.0575533663106327,-40.2016026751231,0,0,"1465","1465","cysteine and glycine rich protein 1"
"ENSG00000150938",7442.98631416393,-2.05963137024162,0.0538449075112187,-38.2511822462039,0,0,"51232","51232","cysteine rich transmembrane BMP regulator 1"
"ENSG00000116016",4423.94665216876,-1.8880193725334,0.0431679917759064,-43.7365579185264,0,0,"2034","2034","endothelial PAS domain protein 1"
"ENSG00000136068",3796.1265394147,-1.64979200672636,0.043935437053321,-37.5503720316732,0,0,"2317","2317","filamin B"
"ENSG00000164251",2348.7701339719,3.3445083321361,0.0690717572655261,48.4207795565287,0,0,"2150","2150","F2R like trypsin receptor 1"
"ENSG00000124766",2576.65254960143,2.39228794576996,0.0617086151813016,38.7674871448881,0,0,"6659","6659","SRY-box transcription factor 4"
"ENSG00000124762",28106.1191885778,1.83225777686375,0.0388966414279944,47.1058093860269,0,0,"1026","1026","cyclin dependent kinase inhibitor 1A"
"ENSG00000106366",43719.1260988373,-1.84404649934342,0.0419164996609006,-43.9933323216759,0,0,"5054","5054","serpin family E member 1"
"ENSG00000188153",2944.12640623352,2.26608046261254,0.055268128792191,41.001577439559,0,0,"1287","1287","collagen type IV alpha 5 chain"
"ENSG00000122861",28007.1433373973,2.26252546550258,0.055218331159518,40.9741732137189,0,0,"5328","5328","plasminogen activator, urokinase"
"ENSG00000148773",1840.19727265675,-3.19605832567065,0.0757850351652669,-42.1726838115322,0,0,"4288","4288","marker of proliferation Ki-67"
"ENSG00000059804",3443.39680712992,2.07976295761976,0.0543254349135839,38.2834110933132,0,0,"6515","6515","solute carrier family 2 member 3"
"ENSG00000123416",4420.07398793879,-1.93841810360098,0.0505768630461303,-38.3261828997379,0,0,"10376","10376","tubulin alpha 1b"
"ENSG00000139289",12942.9106281238,2.03736205042695,0.0462973434178514,44.0060249686244,0,0,"22822","22822","pleckstrin homology like domain family A member 1"
"ENSG00000125257",6050.78726438958,1.95054949491349,0.0435953844406102,44.7421102013842,0,0,"10257","10257","ATP binding cassette subfamily C member 4 (PEL blood group)"
"ENSG00000211448",1884.75741158654,2.52372169452888,0.0653981298931846,38.590120216754,0,0,"1734","1734","iodothyronine deiodinase 2"
"ENSG00000128917",1307.34250385583,3.8582531145741,0.0865185432075117,44.5945224172374,0,0,"54567","54567","delta like canonical Notch ligand 4"
